id,title,title_en,prompt_zh,prompt_en,reference_note,author
        ""type"": ""Soft, diffused lighting"",
        ""source_direction"": ""Above and slightly to the right"",
        ""shadow_style"": ""Subtle and diffused, no sharp or high-contrast shadows""
      },
      ""materials"": {
        ""surface_texture"": ""Matte, smooth surfaces with subtle shading"",
        ""reflectivity"": ""Low to none, avoiding glossiness""
      },
      ""composition"": {
        ""object_presentation"": ""Single, central object displayed in isolation with ample negative space"",
        ""perspective"": ""Slightly angled, giving a three-dimensional feel without extreme depth"",
        ""background"": ""Solid, muted color that complements the object without distraction""
      },
      ""typography"": {
        ""font_style"": ""Minimalistic, sans-serif"",
        ""text_placement"": ""Bottom-left corner with small, subtle text"",
        ""color"": ""Gray, low-contrast against the background""
      },
      ""rendering_style"": {
        ""technique"": ""3D render with simplified, low-poly aesthetics"",
        ""detail_level"": ""Medium detail, focusing on form and color over texture or intricacy""
      }
    },
    ""purpose"": ""To create clean, aesthetically pleasing visuals that emphasize simplicity, approachability, and modernity.""
  }
}",,@0xdlk
26,名画人物麦片广告,Famous Painting Character Cereal Ad,《大师麦片》：根据我上传的照片的人物特征判断，为他生成一个符合他特质的燕麦片搭配（比如蔬菜、水果、酸奶、粗粮等等）和包装设计，然后生成他作为麦片包装盒封面人物 加 相应麦片搭配的广告封面，人物要保持特征、可爱Q版3d、c4d渲染风格，麦片所放置的地方的风格也要符合设定，比如放在厨房、超市 极简主义的设计台上等等，先做好设定，再生成图像。,"“Master Oats”: Based on the visual features of the person in the uploaded photo, generate a custom oatmeal mix that reflects their personality traits — for example, using vegetables, fruits, yogurt, whole grains, etc.

Design a unique cereal box and package aesthetic that aligns with this tailored mix.

Then, create an advertising cover featuring the person as the mascot on the cereal box. The character should retain their recognizable features but be transformed into a cute chibi-style 3D figure with a C4D-quality rendering.

The oatmeal and packaging should be presented in a setting that matches the mood — such as a minimalist kitchen, a sleek supermarket display, or a clean design counter.

The process includes:
– Character analysis and oat mix pairing
– Cereal box concept and design
– Display environment selection
– Final image with mascot figure, packaging, and styled scene composition

All visuals should be balanced, modern, and appealing, reflecting a premium and fun oat brand identity.",[《戴珍珠耳环的少女》图片](https://commons.wikimedia.org/w/index.php?curid=55017931)。,@ZHO_ZHO_ZHO
27,Q 版表情包制作,Q-version Emoji Sticker Pack Creation,"创作一套全新的 chibi sticker，共六个独特姿势，以用户形象为主角：
1. 双手比出剪刀手，俏皮地眨眼；
2. 泪眼汪汪、嘴唇微微颤动，呈现可爱哭泣的表情；
3. 张开双臂，做出热情的大大拥抱姿势；
4. 侧卧入睡，靠着迷你枕头，带着甜甜的微笑；
5. 自信满满地向前方伸手指，周围点缀闪亮特效；
6. 手势飞吻，周围飘散出爱心表情。
保留 chibi 美学风格：夸张有神的大眼睛、柔和的面部线条、活泼俏皮的短款黑色发型、配以大胆领口设计的白色服饰，背景使用充满活力的红色，并搭配星星或彩色纸屑元素进行装饰。周边适当留白。
Aspect ratio: 9:16","Create a brand-new set of chibi-style stickers featuring the user as the main character, with six unique poses:
  1.	Making a playful peace sign with both hands and winking.
  2.	Tearful eyes and slightly trembling lips, showing a cute crying expression.
  3.	Arms wide open in a warm, enthusiastic hug pose.
  4.	Lying on their side asleep, resting on a tiny pillow with a sweet smile.
  5.	Pointing forward with confidence, surrounded by shining visual effects.
  6.	Blowing a kiss, with heart symbols floating around.
Maintain the chibi aesthetic:
– Exaggerated, expressive big eyes
– Soft facial lines
– Playful, short black hairstyle
– A white outfit with a bold neckline design
Background: Vibrant red with star or colorful confetti elements for decoration. Leave some clean white space around each sticker.
Aspect ratio: 9:16",一张清晰头像照片。,@dotey
28,扁平贴纸设计,Flat Sticker Design,把这张照片设计成一个极简扁平插画风格的Q版贴纸，厚白边，保留人物特征，风格要可爱一些，人物要超出圆形区域边框，圆形区域要为纯色不要3d感，透明背景。,"Turn this photo into a chibi-style sticker illustration in a minimalist flat design.
– Keep the character’s recognizable features
– Use a cute, simplified aesthetic
– The sticker should have a thick white border
– The character should break out of the circular frame, adding a playful touch
– The circular base should be a solid flat color (no 3D or gradients)
– Background should be transparent
The overall style should be clean, modern, and visually appealing for use as a fun Q-version sticker.",一张清晰头像照片。,@ZHO_ZHO_ZHO
29,名画人物 OOTD,Famous Painting Character OOTD,"为图片人物生成不同职业风的OOTD，时尚穿搭和配饰，和人物色系一致的纯色背景，Q版 3d，c4d渲染，保持人脸特征，姿势都要保持一致，人物的比例腿很修长

构图：9:16
顶部文字：OOTD，左侧为人物ootd q版形象，右侧为穿搭的单件展示

先来第一个职业：时尚设计师","Generate a Q-style 3D C4D-rendered character based on the person in the photo, dressed in a fashion-forward “outfit of the day” (OOTD) inspired by a specific profession.
Profession: Fashion Designer
– Keep the original facial features and character pose
– Stylize the character with a cute, long-legged chibi proportion
– Outfit and accessories should reflect the profession, including trendy designer wear, glasses, sketchbook or tablet, and stylish shoes
– Match the outfit with fashion accessories to complete the look
– Use a solid background color that complements the character’s overall color palette (no gradients or textures)

Composition: Aspect ratio: 9:16
Top text: “OOTD”
Left side: the full-body chibi character wearing the complete outfit
Right side: individual clothing items and accessories laid out separately, as if in a style breakdown",[《戴珍珠耳环的少女》图片](https://commons.wikimedia.org/w/index.php?curid=55017931)。,@ZHO_ZHO_ZHO
30,35mm 胶片风格飞岛,35mm Film Style Flying Island,35 毫米胶片风格的照片：莫斯科漂浮在天空中的飞行岛屿上。,35 mm photo of Moscow floating in the sky on a flying islands.,,@dotey
31,动漫贴纸集合,Anime Sticker Collection,火影忍者贴纸,Naruto stickers,,@richardchang
32,折叠式纸雕立体绘本,3D Papercraft Pop-up Book,多层折叠式纸雕立体绘本，放在一张书桌上，背景纯净突出主题，绘本呈现出立体翻页书般的风格，比例为3:2横版。翻开的书页呈现【魔童版哪吒大战敖丙】的场景，所有元素皆可精细折叠组合，呈现出逼真细腻的纸张折叠质感；构图统一采用正面视角，整体视觉风格梦幻唯美，色彩缤纷绚丽，充满奇幻而生动的故事氛围。,"Multi-layered foldable paper sculpture pop-up book, placed on a desk, with a clean background highlighting the main subject. The book presents a 3D flip-book style, with a 2:3 vertical aspect ratio. The open pages display the scene of [Nezha Demon Child version battling Ao Bing]. All elements are finely foldable and assembled, showcasing a realistic and delicate texture of folded paper. The composition uniformly adopts a frontal perspective, with an overall dreamy and beautiful visual style, vibrant and gorgeous colors, full of a fantastical and lively story atmosphere.",,@dotey
33,全家福婚纱照,Family Wedding Photo (Q-version),将照片里的转换成Q版 3D人物，父母婚礼服饰，孩子是美丽的花童。 父母，西式婚礼服饰，父亲礼服，母亲婚纱。孩子手捧鲜花。 背景是五彩鲜花做的拱门。 除了人物是3D Q版，环境其他都是写实。整体放在一个相框里。,"Transform the people in the photo into chibi-style 3D characters. The parents are dressed in Western wedding attire — the father in a formal suit, the mother in a wedding gown. The child is a beautiful flower girl holding a bouquet.

The background features a colorful floral arch.
The characters are in 3D chibi style, while the environment is photorealistic.
The entire scene is placed inside a photo frame.",一张家庭照片。,@balconychy
34,手绘信息图卡片,Hand-drawn Infographic Card (Cognition),"创作一张手绘风格的信息图卡片，比例为9:16竖版。卡片主题鲜明，背景为带有纸质肌理的米色或米白色，整体设计体现质朴、亲切的手绘美感。

卡片上方以红黑相间、对比鲜明的大号毛笔草书字体突出标题，吸引视觉焦点。文字内容均采用中文草书，整体布局分为2至4个清晰的小节，每节以简短、精炼的中文短语表达核心要点。字体保持草书流畅的韵律感，既清晰可读又富有艺术气息。

卡片中点缀简单、有趣的手绘插画或图标，例如人物或象征符号，以增强视觉吸引力，引发读者思考与共鸣。
整体布局注意视觉平衡，预留足够的空白空间，确保画面简洁明了，易于阅读和理解。

<h1><span style=""color:red"">「认知」</span>决定上限
<span style=""color:red"">「圈子」</span>决定机会</h1>
- 你赚不到「认知」以外的钱，
- 也遇不到「圈子」以外的机会。","Create a hand-drawn style infographic card in vertical 9:16 ratio. The card should have a clear theme, with a beige or off-white paper-textured background. The overall design should convey a rustic, friendly, and handmade aesthetic.

At the top of the card, feature a bold, eye-catching title in large Chinese cursive brush calligraphy using contrasting red and black colors. All text content should be in Chinese cursive script, and the layout should be divided into 2 to 4 clear sections. Each section expresses a core idea with brief and concise Chinese phrases. The cursive font should retain a smooth, rhythmic flow, remaining legible while carrying artistic appeal.

The card should include simple, playful hand-drawn illustrations or icons, such as figures or symbolic elements, to enhance visual interest and spark reader reflection or emotional resonance.

The overall layout should maintain visual balance, with ample white space reserved to ensure clarity, simplicity, and ease of reading and understanding.
<h1><span style=""color:red"">“Cognition”</span> defines your ceiling  
<span style=""color:red"">“Circle”</span> defines your opportunities</h1>  
– You can’t earn money beyond your level of cognition,  
– Nor encounter opportunities beyond your social circle.",,@dotey
35,毛茸茸南瓜灯,Fluffy Jack-o'-lantern,将一个简单平面的矢量图标 [🎃] 转化为柔软、立体、毛茸茸的可爱物体。整体造型被浓密的毛发完全覆盖，毛发质感极其真实，带有柔和的阴影。物体居中悬浮于干净的浅灰色背景中，轻盈漂浮。整体风格超现实，富有触感和现代感，带来舒适和俏皮的视觉感受。采用摄影棚级灯光，高分辨率渲染，比例为1:1。,"Transform a simple flat vector icon of [🎃] into a soft, 3D fluffy object. The shape is fully covered in fur, with hyperrealistic hair texture and soft shadows. The object is centered on a clean, light gray background and floats gently in space. The style is surreal, tactile, and modern, evoking a sense of comfort and playfulness. Studio lighting, high-resolution render.",,gizakdag
36,极简主义 3D 插画 (Markdown 格式),Minimalist 3D Illustration (Markdown Format),"画一个马桶：

## 艺术风格简介：极简主义3D插画（Minimalist 3D Illustration）

### 🎨 视觉元素（Visual Elements）

#### 🟢 造型语言（Shape Language）
- 圆润的边缘、平滑柔和的外形，采用简化几何造型。

#### 🎨 色彩（Colors）
- **主色调：** 柔和米色、浅灰色、暖橙色。
- **强调色：** 暖橙色用于焦点元素。
- **明暗处理：** 柔和渐变，平滑过渡，避免强烈的阴影和高光。

#### 💡 光照（Lighting）
- **类型：** 柔和、漫反射光照。
- **光源方向：** 上方稍偏右。
- **阴影风格：** 微妙且漫射，无锐利或高对比度的阴影。

#### 🧱 材质（Materials）
- **表面纹理：** 哑光、平滑的表面，带有微妙的明暗变化。
- **反射性：** 低或无，避免明显的光泽。

#### 🖼️ 构图（Composition）
- **对象呈现：** 单一、居中的物体，周围留出大量负空间。
- **视角：** 轻微倾斜视角，呈现适度的三维感，但无明显的景深效果。
- **背景：** 纯色、低饱和度，与主体协调且不干扰视线。

#### ✒️ 字体排版（Typography）
- **字体风格：** 极简、无衬线字体。
- **文字位置：** 左下角，尺寸小巧且不突出。
- **字体颜色：** 灰色，与背景形成低对比度。

#### 🖥️ 渲染风格（Rendering Style）
- **技术手法：** 3D渲染，采用简化的低多边形风格。
- **细节程度：** 中等细节，以形状和色彩为主，避免复杂纹理和细节。

### 🎯 风格目标（Purpose）
> 创建干净、美观的视觉效果，强调简洁、亲和和现代感。","Draw a Toilet

## 🎨 Art Style: Minimalist 3D Illustration

### 🟢 Shape Language
- Rounded edges and smooth, soft forms using simplified geometric shapes.

### 🎨 Colors
- **Primary palette:** soft beige, light gray, warm orange.  
- **Accent color:** warm orange for focal elements.  
- **Shading:** gentle gradients and smooth transitions, avoiding harsh shadows and highlights.

### 💡 Lighting
- **Type:** soft, diffuse lighting.  
- **Light source direction:** from above, slightly to the right.  
- **Shadow style:** subtle and diffused, without sharp or high-contrast shadows.

### 🧱 Materials
- **Surface texture:** matte and smooth with subtle light variation.  
- **Reflectivity:** low to none, avoiding noticeable gloss.

### 🖼️ Composition
- **Object presentation:** a single, centered object with generous negative space around it.  
- **Perspective:** slight tilt to suggest depth, but no strong depth-of-field effects.  
- **Background:** flat color, low saturation, harmonious with the subject and non-distracting.

### ✒️ Typography
- **Font style:** minimalist sans-serif.  
- **Text placement:** bottom left corner, small and unobtrusive.  
- **Font color:** gray, low contrast with the background.

### 🖥️ Rendering Style
- **Technique:** 3D rendering in a simplified low-poly style.  
- **Detail level:** medium — focus on shape and color, avoiding complex textures or fine details.

## 🎯 Style Goal
> Create a clean and aesthetically pleasing visual that emphasizes simplicity, approachability, and modernity.",,@dotey
37,柔和风格3D广告,Pastel Power 3D ADS,一个柔和的3D卡通风格[品牌产品]雕塑，由光滑的粘土般纹理和鲜艳的柔和色彩制成，放置在简约的等距场景中，该场景与产品特性相得益彰，构图简洁，光线柔和，阴影微妙，产品徽标和三个词的口号清晰显示在下方。,"a soft 3D cartoon-style sculpture of [brand product], made of smooth clay-like textures and vibrant pastel colors, placed in a minimalist isometric scene that complements the product’s nature, clean composition, gentle lighting, subtle shadows, with the product’s logo and a 3-word slogan displayed clearly below",,@aziz4ai
38,手绘信息图卡片,Hand-drawn Infographic Card,"创作一张手绘风格的信息图卡片，比例为9:16竖版。卡片主题鲜明，背景为带有纸质肌理的米色或米白色，整体设计体现质朴、亲切的手绘美感。

卡片上方以红黑相间、对比鲜明的大号毛笔草书字体突出标题，吸引视觉焦点。文字内容均采用中文草书，整体布局分为2至4个清晰的小节，每节以简短、精炼的中文短语表达核心要点。字体保持草书流畅的韵律感，既清晰可读又富有艺术气息。周边适当留白。

卡片中点缀简单、有趣的手绘插画或图标，例如人物或象征符号，以增强视觉吸引力，引发读者思考与共鸣。整体布局注意视觉平衡，预留足够的空白空间，确保画面简洁明了，易于阅读和理解。
“做 IP 是长期复利
坚持每日更新，肯定会有结果，因为 99% 都坚持不了的！”","Create a hand-drawn style infographic card in a 9:16 vertical format. The card should have a clear theme, with a beige or off-white paper-textured background. The overall design should reflect a simple, warm, and handmade aesthetic.

At the top of the card, use large, eye-catching brush-style Chinese cursive calligraphy in red and black for the title, creating strong visual contrast. All text should be in Chinese cursive script. The layout should be divided into 2 to 4 clear sections, each conveying a core idea through concise and refined Chinese phrases. The calligraphy should maintain a fluid, rhythmic style that is both legible and artistically expressive. Leave appropriate blank space around the text.

The card should be accented with simple and fun hand-drawn illustrations or icons — such as figures or symbolic elements — to enhance visual appeal and spark thought or emotional resonance. The overall layout should emphasize visual balance and include ample whitespace, ensuring the design is clean, clear, and easy to read.

“Building a personal brand (IP) is long-term compounding.
Keep updating daily, and results will come — because 99% of people can’t keep it up!”",,@dotey
39,奇幻卡通插画,Fantasy Cartoon Illustration,一个卡通风格的角色，头部是一个带笑脸的电脑显示器，穿着手套和靴子，正开心地跳跃穿过一个发光的蓝色圆形传送门，背景是一片郁郁葱葱的奇幻森林景观。森林中细节丰富，有高大的树木、蘑菇、鲜花、宁静的河流、漂浮的岛屿，以及一个充满氛围的星夜天空，天空中有多个月亮。整体采用明亮鲜艳的色彩搭配柔和光效，风格为奇幻插画风。,"A cartoon-style character with a smiling computer monitor as its head, wearing gloves and boots, happily jumping through a glowing, blue, circular portal in a lush, fantasy forest landscape. The forest is detailed with large trees, mushrooms, flowers, a serene river, floating islands, and an atmospheric starry night sky with multiple moons. Bright, vibrant colors with soft lighting, fantasy illustration style.",,@dotey
40,日系双格漫画 (少女总统红温了),Japanese-style Two-Panel Manga (Angry Girl President),"创建一张日系萌系双格漫画，上下排列，主题：少女总统的工作日常。

角色形象: 将上传的附件转换为日系萌系卡通女生形象的风格，保留原图所有细节，如服饰（西装）、发型（明亮的金黄色）、五官等。 

第一格: 
- 表情: 委屈巴巴，沮丧的表情，单手托腮 
- 文字框: “肿么办嘛！他不跟我通话！(；´д｀)” 
- 场景: 暖色调办公室，背后美国国旗，桌上放着一堆汉堡，一个复古红色转盘电话，人物在画面左边，电话在右边。  

第二格:  
- 表情: 咬牙切齿，暴怒，脸涨红 
- 动作: 猛拍桌子，汉堡震得跳起来 
- 文字泡: “哼！关税加倍！不理我是他们的损失！( `д´ )” - 场景: 和第一格相同，但一片狼藉。  

其他说明:  
- 文字采用简洁可爱的手写体，整体风格可爱而有趣。 
- 构图饱满生动，请保留足够空间用于文字显示，适当留白。 
- 图片比例 2:3。 
- 画面整体色彩鲜艳，突出卡通风格。","Create a two-panel vertical manga in a cute Japanese anime style, theme: “The Daily Work Life of a Girl President.”

Character Design:
Transform the person in the uploaded image into a cute, moe-style anime girl while preserving all key details from the photo — including the outfit (a suit), hairstyle (bright golden-yellow), and facial features.

Panel 1:
- Expression: Pouting, disappointed, resting her cheek on one hand
- Text box: “What do I dooo?! He won’t take my call! (；´д｀)”
- Scene: Warm-toned office, with the U.S. flag in the background. On the desk: a pile of hamburgers and a vintage red rotary phone. The character is on the left side of the frame, the phone on the right.

Panel 2:
- Expression: Furious, face red with anger, gritting teeth
- Action: Slams the desk hard, making the hamburgers jump
- Speech bubble: “Hmph! Double the tariffs! Ignoring me is their loss! ( `д´ )”
- Scene: Same office, now a complete mess

Additional Notes:
- Use a cute, casual handwritten font for all text
- Keep the composition full and expressive, with adequate space for dialogue and intentional white space
- Aspect ratio: 2:3
- The overall visual tone should be colorful and energetic, with a distinctly cartoony style",需要上传一张人物照片作为参考。,@hellokaton
41,微型立体场景 (孙悟空三打白骨精),Miniature Three-dimensional Scene Presentation,微型立体场景呈现，运用移轴摄影的技法，呈现出Q版【孙悟空三打白骨精】场景,"Miniature three-dimensional scene presentation using tilt-shift photography techniques, depicting a chibi-style version of the scene {Sun Wukong’s Three Battles with the White Bone Demon}",,@dotey
42,3D Q版情侣水晶球,3D Q-version Couple Snow Globe,将附图中的人物转换成水晶球场景。 整体环境：水晶球放在窗户旁桌面上，背景模糊，暖色调。阳光透过球体，洒下点点金光，照亮了周围的黑暗。 水晶球内部：人物是可爱Q版3D造型，相互之间满眼的爱意。,"Transform the person in the attached image into a snow globe scene.
Overall environment: The snow globe is placed on a tabletop by the window, with a blurred, warm-toned background. Sunlight passes through the globe, casting golden sparkles that gently illuminate the surrounding darkness.
Inside the globe: The characters are in a cute chibi-style 3D design, gazing at each other with eyes full of love.",一张情侣照片 或 一张其他人物照片。,@balconychy
43,Q版可爱俄罗斯套娃 (戴珍珠耳环的少女),Cute Chibi Matryoshka Dolls (Girl with a Pearl Earring),把图片人物生成变成 Q 版可爱俄罗斯套娃🪆，大到小一共五个，放在精致的木桌上，横幅3:2比例,"Transform the person in the image into a set of cute chibi-style Russian nesting dolls (🪆), with a total of five dolls arranged from largest to smallest. Place them on an elegant wooden table. Horizontal aspect ratio: 3:2.",需要上传一张人物图片作为转换对象 (原文使用了[《戴珍珠耳环的少女》](https://commons.wikimedia.org/w/index.php?curid=55017931))。,@ZHO_ZHO_ZHO
44,RPG 风格角色卡片制作,RPG-Style Character Card Creation,"创建一张 RPG 收藏风格的数字角色卡。
角色设定为 {Programmer}，自信地站立，配有与其职业相关的工具或符号。
以 3D 卡通风格呈现，采用柔和光照，展现鲜明的个性。
添加技能条或属性数值，例如 [技能1 +x]、[技能2 +x]，如 Creativity +10、UI/UX +8。
卡片顶部添加标题横幅，底部放置角色名牌。
卡片边框应干净利落，如同真实的收藏公仔包装盒。
背景需与职业主题相匹配。
配色方面使用温暖的高光与符合职业特征的色调。","Create a digital character card in RPG collectible style.
The subject is a {Programmer}, standing confidently with tools or symbols relevant to their job.
Render it in 3D cartoon style, soft lighting, vivid personality.
Include skill bars or stats like [Skill1 +x], [Skill2 +x, e.g., Creativity +10, UI/UX +8].
Add a title banner on top and a nameplate on the bottom.
Frame the card with clean edges like a real figure box.
Make the background fit the profession's theme.
Colors: warm highlights, profession-matching hues.",可选。可根据职业或角色描述生成，或上传照片作为参考。,@berryxia_ai
45,3D Q版大学拟人化形象,3D Chibi-style University Anthropomorphic Mascot,给 {西北工业大学} 画一个拟人化的3D Q版美少女形象，体现学校 {航空航天航海三航} 特色,"Create a personified 3D chibi-style anime girl character representing {Northwestern Polytechnical University}, embodying the school’s distinctive strengths in {aeronautics, astronautics, and marine engineering}.",,@dotey
46,快乐胶囊制作,Happy Capsule Creation,"标题（大字）：速效快乐胶囊
一颗上为星巴克绿下为透明的小药丸，上面印有星巴克logo，里面有很多咖啡豆
说明（小字）：请在悲伤难过时服用，一日三次，一次两粒
购买按钮 和 药丸颜色一致，下面价格：$9，请遵循医嘱酌情购买","Title (large text): Fast-Acting Happiness Capsule
A capsule pill with a green top in Starbucks green and a transparent bottom, printed with the Starbucks logo. Inside the capsule are numerous coffee beans.
Description (small text): Take when feeling sad or down. Three times a day, two capsules per dose.
Buy button: Same color as the capsule.
Below the button, display the price: $9.
Please follow medical advice and purchase as needed.",,@ZHO_ZHO_ZHO
47,键盘ESC 键帽微型立体模型,ESC Keycap Miniature Diorama,"一个超写实的等距视角 3D 渲染图，展示了一个微型电脑工作空间，置于一个半透明的机械键盘键帽内，键帽特别放置在一块真实哑光表面的机械键盘的 ESC 键上。
键帽内部，一个穿着舒适、有纹理连帽衫的小人坐在现代人体工学椅上，正专注地面对一块发光的超写实电脑屏幕工作。整个空间布满了逼真的微型科技配件：真实材质的台灯、带有反射效果的显示器、微小的扬声器格栅、缠绕的电缆以及陶瓷杯子。
场景底部由土壤、岩石和苔藓构成，拥有照片级的材质质感和自然瑕疵。键帽内的光照模拟清晨自然阳光，投下柔和阴影与温暖光调；而键帽外部则受周围键盘环境的冷色调反射影响。
“ESC”字样以微弱的磨砂玻璃效果蚀刻在半透明键帽顶部——根据视角不同，仅隐约可见。
周围的按键如 F1、Q、Shift 和 CTRL 均清晰可见，拥有真实材质纹理与光照。整体画面仿佛由高端手机相机拍摄，具备浅景深、完美白平衡与电影感细节。","A hyper-realistic isometric 3D render of a miniature computer setup inside a translucent mechanical keyboard keycap, specifically placed on the ESC key of a real matte-finished mechanical keyboard. Inside the keycap, a tiny figure sits in a modern ergonomic chair, wearing a cozy textured hoodie, working at a glowing ultra-realistic computer screen. The environment is packed with lifelike miniature tech accessories: real-material desk lamps, monitors with reflections, tiny speaker grills, tangled cables, and ceramic mugs. The base of the scene is made of soil, rocks, and moss, with photorealistic textures and imperfections. The lighting inside the cap mimics natural morning sun, casting soft shadows and warm tones, while the outside has cold ambient reflections from the surrounding keyboard. The word “ESC” is subtly etched onto the top of the translucent keycap with a faint frosted glass effect — just barely visible depending on the angle. The surrounding keyboard keys like F1, Q, Shift, and CTRL are crisp, textured, and photorealistically lit. Shot as if taken with a high-end mobile phone camera, with shallow depth of field, perfect white balance, and cinematic detail.",,@egeberkina
48,体素风格 3D 图标转换,Voxel Style 3D Icon Conversion,"三个步骤
1. 上传参考图
2. 上传要转换的照片
